Date,TH/s
5/11/2009,6.31E-06
5/12/2009,6.31E-06
5/13/2009,6.61E-06
5/14/2009,7.11E-06
5/15/2009,7.11E-06
5/16/2009,6.21E-06
5/17/2009,6.16E-06
5/18/2009,6.16E-06
5/19/2009,5.17E-06
5/20/2009,4.42E-06
5/21/2009,4.42E-06
5/22/2009,3.48E-07
5/23/2009,4.77E-06
5/24/2009,4.77E-06
5/25/2009,5.62E-06
5/26/2009,6.21E-06
5/27/2009,6.21E-06
5/28/2009,5.32E-06
5/29/2009,5.12E-06
5/30/2009,5.12E-06
5/31/2009,3.63E-06
6/1/2009,4.42E-06
6/2/2009,4.42E-06
6/3/2009,1.94E-06
6/4/2009,2.83E-06
6/5/2009,2.83E-06
6/6/2009,1.99E-07
6/7/2009,3.58E-06
6/8/2009,3.58E-06
6/9/2009,4.13E-06
6/10/2009,4.62E-06
6/11/2009,4.62E-06
6/12/2009,3.68E-06
6/13/2009,3.48E-06
6/14/2009,3.48E-06
6/15/2009,3.63E-06
6/16/2009,3.83E-06
6/17/2009,3.83E-06
6/18/2009,4.32E-06
6/19/2009,4.18E-06
6/20/2009,4.18E-06
6/21/2009,3.98E-06
6/22/2009,3.78E-06
6/23/2009,3.78E-06
6/24/2009,3.68E-06
6/25/2009,4.42E-06
6/26/2009,4.42E-06
6/27/2009,2.54E-06
6/28/2009,3.78E-06
6/29/2009,3.78E-06
6/30/2009,4.13E-06
7/1/2009,3.58E-06
7/2/2009,3.58E-06
7/3/2009,4.42E-06
7/4/2009,3.98E-06
7/5/2009,3.98E-06
7/6/2009,3.13E-06
7/7/2009,3.93E-06
7/8/2009,3.93E-06
7/9/2009,4.08E-06
7/10/2009,4.18E-06
7/11/2009,4.18E-06
7/12/2009,3.78E-06
7/13/2009,3.58E-06
7/14/2009,3.58E-06
7/15/2009,3.43E-06
7/16/2009,3.23E-06
7/17/2009,3.23E-06
7/18/2009,2.58E-06
7/19/2009,3.73E-06
7/20/2009,3.73E-06
7/21/2009,3.43E-06
7/22/2009,3.28E-06
7/23/2009,3.28E-06
7/24/2009,2.63E-06
7/25/2009,6.46E-07
7/26/2009,6.46E-07
7/27/2009,2.19E-06
7/28/2009,1.59E-06
7/29/2009,1.59E-06
7/30/2009,5.97E-07
7/31/2009,1.14E-06
8/1/2009,1.14E-06
8/2/2009,7.46E-07
8/3/2009,2.88E-06
8/4/2009,2.88E-06
8/5/2009,4.77E-06
8/6/2009,3.68E-06
8/7/2009,3.68E-06
8/8/2009,4.87E-06
8/9/2009,4.08E-06
8/10/2009,4.08E-06
8/11/2009,3.38E-06
8/12/2009,4.03E-06
8/13/2009,4.03E-06
8/14/2009,1.69E-06
8/15/2009,1.24E-06
8/16/2009,1.24E-06
8/17/2009,4.47E-07
8/18/2009,7.46E-07
8/19/2009,7.46E-07
8/20/2009,7.95E-07
8/21/2009,3.98E-07
8/22/2009,3.98E-07
8/23/2009,3.98E-07
8/24/2009,2.73E-06
8/25/2009,2.73E-06
8/26/2009,1.49E-06
8/27/2009,3.18E-06
8/28/2009,3.18E-06
8/29/2009,4.47E-06
8/30/2009,4.67E-06
8/31/2009,4.67E-06
9/1/2009,3.38E-06
9/2/2009,2.98E-06
9/3/2009,2.98E-06
9/4/2009,3.53E-06
9/5/2009,3.58E-06
9/6/2009,3.58E-06
9/7/2009,3.28E-06
9/8/2009,2.88E-06
9/9/2009,2.88E-06
9/10/2009,3.38E-06
9/11/2009,3.53E-06
9/12/2009,3.53E-06
9/13/2009,4.03E-06
9/14/2009,2.78E-06
9/15/2009,2.78E-06
9/16/2009,4.13E-06
9/17/2009,4.03E-06
9/18/2009,4.03E-06
9/19/2009,3.93E-06
9/20/2009,3.68E-06
9/21/2009,3.68E-06
9/22/2009,1.34E-06
9/23/2009,4.08E-06
9/24/2009,4.08E-06
9/25/2009,4.67E-06
9/26/2009,4.42E-06
9/27/2009,4.42E-06
9/28/2009,4.13E-06
9/29/2009,4.32E-06
9/30/2009,4.32E-06
10/1/2009,3.73E-06
10/2/2009,2.88E-06
10/3/2009,2.88E-06
10/4/2009,2.88E-06
10/5/2009,2.04E-06
10/6/2009,2.04E-06
10/7/2009,3.48E-06
10/8/2009,3.88E-06
10/9/2009,3.88E-06
10/10/2009,3.93E-06
10/11/2009,3.08E-06
10/12/2009,3.08E-06
10/13/2009,2.78E-06
10/14/2009,4.23E-06
10/15/2009,4.23E-06
10/16/2009,2.73E-06
10/17/2009,3.18E-06
10/18/2009,3.18E-06
10/19/2009,5.52E-06
10/20/2009,4.13E-06
10/21/2009,4.13E-06
10/22/2009,4.32E-06
10/23/2009,3.73E-06
10/24/2009,3.73E-06
10/25/2009,3.23E-06
10/26/2009,3.28E-06
10/27/2009,3.28E-06
10/28/2009,2.49E-06
10/29/2009,3.03E-06
10/30/2009,3.03E-06
10/31/2009,1.49E-06
11/1/2009,1.64E-06
11/2/2009,1.64E-06
11/3/2009,3.08E-06
11/4/2009,3.18E-06
11/5/2009,3.18E-06
11/6/2009,3.78E-06
11/7/2009,3.48E-06
11/8/2009,3.48E-06
11/9/2009,3.53E-06
11/10/2009,3.43E-06
11/11/2009,3.43E-06
11/12/2009,3.48E-06
11/13/2009,4.13E-06
11/14/2009,4.13E-06
11/15/2009,4.97E-06
11/16/2009,4.52E-06
11/17/2009,4.52E-06
11/18/2009,3.63E-06
11/19/2009,4.08E-06
11/20/2009,4.08E-06
11/21/2009,4.97E-06
11/22/2009,4.77E-06
11/23/2009,4.77E-06
11/24/2009,4.23E-06
11/25/2009,3.88E-06
11/26/2009,3.88E-06
11/27/2009,3.88E-06
11/28/2009,2.88E-06
11/29/2009,2.88E-06
11/30/2009,3.28E-06
12/1/2009,4.87E-06
12/2/2009,4.87E-06
12/3/2009,2.44E-06
12/4/2009,2.58E-06
12/5/2009,2.58E-06
12/6/2009,4.67E-06
12/7/2009,5.92E-06
12/8/2009,5.92E-06
12/9/2009,5.12E-06
12/10/2009,6.21E-06
12/11/2009,6.21E-06
12/12/2009,5.17E-06
12/13/2009,5.37E-06
12/14/2009,5.37E-06
12/15/2009,5.92E-06
12/16/2009,8.00E-06
12/17/2009,8.00E-06
12/18/2009,1.11E-05
12/19/2009,8.70E-06
12/20/2009,8.70E-06
12/21/2009,7.56E-06
12/22/2009,8.40E-06
12/23/2009,8.40E-06
12/24/2009,7.80E-06
12/25/2009,7.90E-06
12/26/2009,7.90E-06
12/27/2009,6.86E-06
12/28/2009,8.15E-06
12/29/2009,8.15E-06
12/30/2009,8.82E-06
12/31/2009,7.00E-06
1/1/2010,7.00E-06
1/2/2010,9.58E-06
1/3/2010,1.12E-05
1/4/2010,1.12E-05
1/5/2010,9.29E-06
1/6/2010,9.35E-06
1/7/2010,9.35E-06
1/8/2010,8.70E-06
1/9/2010,1.12E-05
1/10/2010,1.12E-05
1/11/2010,1.08E-05
1/12/2010,1.03E-05
1/13/2010,1.03E-05
1/14/2010,8.82E-06
1/15/2010,8.69E-06
1/16/2010,8.69E-06
1/17/2010,8.43E-06
1/18/2010,7.72E-06
1/19/2010,7.72E-06
1/20/2010,1.15E-05
1/21/2010,9.73E-06
1/22/2010,9.73E-06
1/23/2010,9.41E-06
1/24/2010,1.36E-05
1/25/2010,1.36E-05
1/26/2010,1.18E-05
1/27/2010,1.16E-05
1/28/2010,1.16E-05
1/29/2010,1.20E-05
1/30/2010,1.38E-05
1/31/2010,1.38E-05
2/1/2010,9.49E-06
2/2/2010,1.62E-05
2/3/2010,1.62E-05
2/4/2010,2.21E-05
2/5/2010,1.73E-05
2/6/2010,1.73E-05
2/7/2010,1.91E-05
2/8/2010,1.89E-05
2/9/2010,1.89E-05
2/10/2010,1.61E-05
2/11/2010,1.69E-05
2/12/2010,1.69E-05
2/13/2010,1.86E-05
2/14/2010,2.32E-05
2/15/2010,2.32E-05
2/16/2010,2.92E-05
2/17/2010,2.88E-05
2/18/2010,2.88E-05
2/19/2010,2.79E-05
2/20/2010,2.69E-05
2/21/2010,2.69E-05
2/22/2010,3.15E-05
2/23/2010,3.57E-05
2/24/2010,3.57E-05
2/25/2010,3.20E-05
2/26/2010,3.25E-05
2/27/2010,3.25E-05
2/28/2010,3.50E-05
3/1/2010,3.68E-05
3/2/2010,3.68E-05
3/3/2010,3.42E-05
3/4/2010,3.29E-05
3/5/2010,3.29E-05
3/6/2010,3.25E-05
3/7/2010,3.06E-05
3/8/2010,3.06E-05
3/9/2010,3.36E-05
3/10/2010,3.29E-05
3/11/2010,3.29E-05
3/12/2010,3.56E-05
3/13/2010,2.82E-05
3/14/2010,2.82E-05
3/15/2010,3.06E-05
3/16/2010,2.77E-05
3/17/2010,2.77E-05
3/18/2010,3.00E-05
3/19/2010,4.35E-05
3/20/2010,4.35E-05
3/21/2010,4.02E-05
3/22/2010,4.65E-05
3/23/2010,4.65E-05
3/24/2010,4.22E-05
3/25/2010,4.43E-05
3/26/2010,4.43E-05
3/27/2010,4.40E-05
3/28/2010,4.36E-05
3/29/2010,4.36E-05
3/30/2010,4.70E-05
3/31/2010,5.72E-05
4/1/2010,5.72E-05
4/2/2010,5.02E-05
4/3/2010,5.02E-05
4/4/2010,5.02E-05
4/5/2010,4.39E-05
4/6/2010,5.84E-05
4/7/2010,5.84E-05
4/8/2010,5.35E-05
4/9/2010,7.26E-05
4/10/2010,7.26E-05
4/11/2010,8.44E-05
4/12/2010,6.41E-05
4/13/2010,6.41E-05
4/14/2010,8.01E-05
4/15/2010,7.85E-05
4/16/2010,7.85E-05
4/17/2010,0.000103012
4/18/2010,8.44E-05
4/19/2010,8.44E-05
4/20/2010,8.59E-05
4/21/2010,0.000100871
4/22/2010,0.000100871
4/23/2010,8.38E-05
4/24/2010,9.63E-05
4/25/2010,9.63E-05
4/26/2010,9.69E-05
4/27/2010,9.97E-05
4/28/2010,9.97E-05
4/29/2010,8.72E-05
4/30/2010,9.29E-05
5/1/2010,9.29E-05
5/2/2010,9.12E-05
5/3/2010,8.30E-05
5/4/2010,8.30E-05
5/5/2010,9.64E-05
5/6/2010,8.37E-05
5/7/2010,8.37E-05
5/8/2010,9.07E-05
5/9/2010,8.75E-05
5/10/2010,8.75E-05
5/11/2010,7.73E-05
5/12/2010,8.30E-05
5/13/2010,8.30E-05
5/14/2010,6.77E-05
5/15/2010,6.13E-05
5/16/2010,6.13E-05
5/17/2010,0.000107308
5/18/2010,0.000103475
5/19/2010,0.000103475
5/20/2010,0.000108943
5/21/2010,0.000113065
5/22/2010,0.000113065
5/23/2010,0.000111887
5/24/2010,0.000126609
5/25/2010,0.000126609
5/26/2010,0.000114831
5/27/2010,0.000128965
5/28/2010,0.000128965
5/29/2010,0.000124747
5/30/2010,0.000125573
5/31/2010,0.000125573
6/1/2010,0.000109876
6/2/2010,0.000129704
6/3/2010,0.000129704
6/4/2010,0.000114833
6/5/2010,0.000124747
6/6/2010,0.000124747
6/7/2010,0.00013053
6/8/2010,0.000133834
6/9/2010,0.000133834
6/10/2010,0.000138791
6/11/2010,0.000118373
6/12/2010,0.000118373
6/13/2010,0.000131334
6/14/2010,0.000169352
6/15/2010,0.000169352
6/16/2010,0.000123558
6/17/2010,0.000127878
6/18/2010,0.000127878
6/19/2010,0.000149479
6/20/2010,0.000139974
6/21/2010,0.000139974
6/22/2010,0.000147751
6/23/2010,0.00017556
6/24/2010,0.00017556
6/25/2010,0.000157233
6/26/2010,0.000153374
6/27/2010,0.000153374
6/28/2010,0.000155303
6/29/2010,0.00017749
6/30/2010,0.00017749
7/1/2010,0.000168808
7/2/2010,0.000192924
7/3/2010,0.000192924
7/4/2010,0.000169773
7/5/2010,0.000196267
7/6/2010,0.000196267
7/7/2010,0.000184584
7/8/2010,0.0002208
7/9/2010,0.0002208
7/10/2010,0.000206781
7/11/2010,0.000599314
7/12/2010,0.000599314
7/13/2010,0.001295025
7/14/2010,0.001407832
7/15/2010,0.001407832
7/16/2010,0.001651496
7/17/2010,0.001615397
7/18/2010,0.001615397
7/19/2010,0.001606373
7/20/2010,0.001822962
7/21/2010,0.001822962
7/22/2010,0.001750766
7/23/2010,0.001669545
7/24/2010,0.001669545
7/25/2010,0.002346387
7/26/2010,0.002124483
7/27/2010,0.002124483
7/28/2010,0.002124483
7/29/2010,0.002209463
7/30/2010,0.002209463
7/31/2010,0.002682919
8/1/2010,0.003083536
8/2/2010,0.003083536
8/3/2010,0.002767898
8/4/2010,0.002962137
8/5/2010,0.002962137
8/6/2010,0.002485856
8/7/2010,0.003361158
8/8/2010,0.003361158
8/9/2010,0.003623748
8/10/2010,0.003798808
8/11/2010,0.003798808
8/12/2010,0.003798808
8/13/2010,0.004569073
8/14/2010,0.004569073
8/15/2010,0.002951086
8/16/2010,0.003332692
8/17/2010,0.003332692
8/18/2010,0.003561656
8/19/2010,0.004248547
8/20/2010,0.004248547
8/21/2010,0.00506264
8/22/2010,0.005520567
8/23/2010,0.005520567
8/24/2010,0.005774971
8/25/2010,0.005291603
8/26/2010,0.005291603
8/27/2010,0.005546983
8/28/2010,0.00489622
8/29/2010,0.00489622
8/30/2010,0.005423028
8/31/2010,0.005454017
9/1/2010,0.005454017
9/2/2010,0.004958197
9/3/2010,0.005546983
9/4/2010,0.005546983
9/5/2010,0.005237096
9/6/2010,0.004679299
9/7/2010,0.004679299
9/8/2010,0.005351093
9/9/2010,0.006059847
9/10/2010,0.006059847
9/11/2010,0.006485099
9/12/2010,0.005811783
9/13/2010,0.005811783
9/14/2010,0.006662287
9/15/2010,0.006733163
9/16/2010,0.006733163
9/17/2010,0.008398735
9/18/2010,0.009581379
9/19/2010,0.009581379
9/20/2010,0.008075734
9/21/2010,0.007893231
9/22/2010,0.007893231
9/23/2010,0.011223901
9/24/2010,0.009216374
9/25/2010,0.009216374
9/26/2010,0.010858896
9/27/2010,0.009855133
9/28/2010,0.009855133
9/29/2010,0.009242754
9/30/2010,0.010226025
10/1/2010,0.010226025
10/2/2010,0.007931725
10/3/2010,0.010094922
10/4/2010,0.010094922
10/5/2010,0.009963819
10/6/2010,0.0113404
10/7/2010,0.0113404
10/8/2010,0.010029371
10/9/2010,0.011274848
10/10/2010,0.011274848
10/11/2010,0.010960344
10/12/2010,0.011576864
10/13/2010,0.011576864
10/14/2010,0.012672898
10/15/2010,0.016372014
10/16/2010,0.016372014
10/17/2010,0.017879062
10/18/2010,0.016646023
10/19/2010,0.016646023
10/20/2010,0.02489103
10/21/2010,0.016344753
10/22/2010,0.016344753
10/23/2010,0.020190578
10/24/2010,0.022433975
10/25/2010,0.022433975
10/26/2010,0.022647632
10/27/2010,0.022968118
10/28/2010,0.022968118
10/29/2010,0.025638829
10/30/2010,0.027971776
10/31/2010,0.027971776
11/1/2010,0.025820101
11/2/2010,0.030891906
11/3/2010,0.030891906
11/4/2010,0.033658345
11/5/2010,0.031045597
11/6/2010,0.031045597
11/7/2010,0.04011337
11/8/2010,0.054120808
11/9/2010,0.054120808
11/10/2010,0.052316781
11/11/2010,0.038561076
11/12/2010,0.038561076
11/13/2010,0.053669801
11/14/2010,0.049836244
11/15/2010,0.049836244
11/16/2010,0.056375842
11/17/2010,0.059307385
11/18/2010,0.059307385
11/19/2010,0.039255869
11/20/2010,0.046082977
11/21/2010,0.046082977
11/22/2010,0.049155175
11/23/2010,0.063150746
11/24/2010,0.063150746
11/25/2010,0.069295143
11/26/2010,0.062468035
11/27/2010,0.062468035
11/28/2010,0.072367341
11/29/2010,0.084329546
11/30/2010,0.084329546
12/1/2010,0.077502868
12/2/2010,0.077101299
12/3/2010,0.077101299
12/4/2010,0.095573485
12/5/2010,0.096376623
12/6/2010,0.096376623
12/7/2010,0.0927625
12/8/2010,0.100392316
12/9/2010,0.100392316
12/10/2010,0.104756636
12/11/2010,0.105974737
12/12/2010,0.105974737
12/13/2010,0.099275184
12/14/2010,0.109019988
12/15/2010,0.109019988
12/16/2010,0.105365687
12/17/2010,0.096229933
12/18/2010,0.096229933
12/19/2010,0.096838984
12/20/2010,0.119982892
12/21/2010,0.119982892
12/22/2010,0.102961661
12/23/2010,0.108001742
12/24/2010,0.108001742
12/25/2010,0.105841708
12/26/2010,0.11592187
12/27/2010,0.11592187
12/28/2010,0.123841998
12/29/2010,0.115201859
12/30/2010,0.115201859
12/31/2010,0.128162068
1/1/2011,0.129602091
1/2/2011,0.129602091
1/3/2011,0.115111773
1/4/2011,0.121596944
1/5/2011,0.121596944
1/6/2011,0.116733066
1/7/2011,0.155644088
1/8/2011,0.155644088
1/9/2011,0.135377931
1/10/2011,0.131324699
1/11/2011,0.131324699
1/12/2011,0.149969564
1/13/2011,0.141052455
1/14/2011,0.141052455
1/15/2011,0.158561467
1/16/2011,0.158561467
1/17/2011,0.158561467
1/18/2011,0.162227629
1/19/2011,0.153978766
1/20/2011,0.153978766
1/21/2011,0.150312605
1/22/2011,0.155811847
1/23/2011,0.155811847
1/24/2011,0.142980283
1/25/2011,0.178725353
1/26/2011,0.178725353
1/27/2011,0.17836135
1/28/2011,0.164136212
1/29/2011,0.164136212
1/30/2011,0.164136212
1/31/2011,0.195869213
2/1/2011,0.195869213
2/2/2011,0.16304197
2/3/2011,0.207905868
2/4/2011,0.207905868
2/5/2011,0.191492247
2/6/2011,0.225413731
2/7/2011,0.225413731
2/8/2011,0.236502177
2/9/2011,0.244256346
2/10/2011,0.244256346
2/11/2011,0.245548708
2/12/2011,0.263641771
2/13/2011,0.263641771
2/14/2011,0.273980664
2/15/2011,0.298535534
2/16/2011,0.298535534
2/17/2011,0.391485055
2/18/2011,0.318987823
2/19/2011,0.318987823
2/20/2011,0.337112131
2/21/2011,0.384235332
2/22/2011,0.384235332
2/23/2011,0.387860193
2/24/2011,0.40235964
2/25/2011,0.40235964
2/26/2011,0.748873252
2/27/2011,0.461482779
2/28/2011,0.461482779
3/1/2011,0.467009519
3/2/2011,0.505696698
3/3/2011,0.505696698
3/4/2011,0.732293033
3/5/2011,0.746109882
3/6/2011,0.746109882
3/7/2011,0.533330397
3/8/2011,0.598433793
3/9/2011,0.598433793
3/10/2011,0.511320013
3/11/2011,0.518895124
3/12/2011,0.518895124
3/13/2011,0.443144011
3/14/2011,0.367392898
3/15/2011,0.367392898
3/16/2011,0.49616979
3/17/2011,0.52268268
3/18/2011,0.52268268
3/19/2011,0.473444456
3/20/2011,0.587071126
3/21/2011,0.587071126
3/22/2011,0.560558236
3/23/2011,0.575708459
3/24/2011,0.575708459
3/25/2011,0.483475502
3/26/2011,0.524622354
3/27/2011,0.524622354
3/28/2011,0.528051258
3/29/2011,0.534909066
3/30/2011,0.534909066
3/31/2011,0.600058248
4/1/2011,0.648062907
4/2/2011,0.648062907
4/3/2011,0.617202769
4/4/2011,0.692638663
4/5/2011,0.692638663
4/6/2011,0.663134716
4/7/2011,0.638574171
4/8/2011,0.638574171
4/9/2011,0.687695261
4/10/2011,0.630387322
4/11/2011,0.630387322
4/12/2011,0.822778259
4/13/2011,0.66722814
4/14/2011,0.66722814
4/15/2011,0.683601837
4/16/2011,0.728629503
4/17/2011,0.728629503
4/18/2011,0.647277934
4/19/2011,0.661049805
4/20/2011,0.661049805
4/21/2011,0.794177891
4/22/2011,0.78040602
4/23/2011,0.78040602
4/24/2011,0.863037245
4/25/2011,0.885990364
4/26/2011,0.885990364
4/27/2011,0.72990916
4/28/2011,0.927305976
4/29/2011,0.927305976
4/30/2011,1.068539452
5/1/2011,0.970408278
5/2/2011,0.970408278
5/3/2011,1.014022133
5/4/2011,1.242994872
5/5/2011,1.242994872
5/6/2011,1.193929285
5/7/2011,1.123056771
5/8/2011,1.123056771
5/9/2011,1.565042356
5/10/2011,1.463314603
5/11/2011,1.463314603
5/12/2011,1.572867568
5/13/2011,1.940652521
5/14/2011,1.940652521
5/15/2011,1.752847439
5/16/2011,2.034555063
5/17/2011,2.034555063
5/18/2011,2.196416463
5/19/2011,2.71821706
5/20/2011,2.71821706
5/21/2011,3.082263987
5/22/2011,3.361366632
5/23/2011,3.361366632
5/24/2011,3.543390095
5/25/2011,3.858897433
5/26/2011,3.858897433
5/27/2011,3.350767554
5/28/2011,3.739888948
5/29/2011,3.739888948
5/30/2011,3.242678278
5/31/2011,3.847978224
6/1/2011,3.847978224
6/2/2011,4.388424603
6/3/2011,4.669456721
6/4/2011,4.669456721
6/5/2011,7.049780324
6/6/2011,4.765651499
6/7/2011,4.765651499
6/8/2011,5.978213715
6/9/2011,6.373001413
6/10/2011,6.373001413
6/11/2011,6.711390869
6/12/2011,6.908784718
6/13/2011,6.908784718
6/14/2011,12.2934077
6/15/2011,8.762322509
6/16/2011,8.762322509
6/17/2011,8.805916154
6/18/2011,9.547008107
6/19/2011,9.547008107
6/20/2011,10.07013184
6/21/2011,11.77028397
6/22/2011,11.77028397
6/23/2011,16.45440492
6/24/2011,10.3525631
6/25/2011,10.3525631
6/26/2011,10.96960328
6/27/2011,10.48968314
6/28/2011,10.48968314
6/29/2011,12.40936371
6/30/2011,12.34080369
7/1/2011,12.34080369
7/2/2011,10.96960328
7/3/2011,11.24384337
7/4/2011,11.24384337
7/5/2011,10.6953632
7/6/2011,10.56700187
7/7/2011,10.56700187
7/8/2011,12.27636981
7/9/2011,11.18859021
7/10/2011,11.18859021
7/11/2011,11.18859021
7/12/2011,14.21883339
7/13/2011,14.21883339
7/14/2011,12.50946544
7/15/2011,12.35406836
7/16/2011,12.35406836
7/17/2011,11.8878771
7/18/2011,12.74256107
7/19/2011,12.74256107
7/20/2011,13.02850737
7/21/2011,12.01984874
7/22/2011,12.01984874
7/23/2011,14.79365999
7/24/2011,13.19661715
7/25/2011,13.19661715
7/26/2011,15.12987953
7/27/2011,14.03716601
7/28/2011,14.03716601
7/29/2011,12.77634272
7/30/2011,14.1212209
7/31/2011,14.1212209
8/1/2011,13.80213817
8/2/2011,14.92884333
8/3/2011,14.92884333
8/4/2011,12.9571093
8/5/2011,11.64261995
8/6/2011,11.64261995
8/7/2011,12.11208044
8/8/2011,12.48764882
8/9/2011,12.48764882
8/10/2011,12.67543301
8/11/2011,12.86321721
8/12/2011,12.86321721
8/13/2011,11.54872786
8/14/2011,13.42656978
8/15/2011,13.42656978
8/16/2011,11.57928193
8/17/2011,14.18237632
8/18/2011,14.18237632
8/19/2011,13.01547194
8/20/2011,13.01547194
8/21/2011,13.01547194
8/22/2011,15.25951882
8/23/2011,11.75880568
8/24/2011,11.75880568
8/25/2011,13.82332882
8/26/2011,11.75880568
8/27/2011,11.75880568
8/28/2011,11.22023443
8/29/2011,13.91309069
8/30/2011,13.91309069
8/31/2011,11.2234534
9/1/2011,14.31653111
9/2/2011,14.31653111
9/3/2011,11.13507975
9/4/2011,13.60954192
9/5/2011,13.60954192
9/6/2011,12.99092638
9/7/2011,11.04670611
9/8/2011,11.04670611
9/9/2011,12.63743178
9/10/2011,12.19556354
9/11/2011,12.19556354
9/12/2011,12.01881624
9/13/2011,13.26392523
9/14/2011,13.26392523
9/15/2011,10.99509591
9/16/2011,10.73330792
9/17/2011,10.73330792
9/18/2011,10.64604525
9/19/2011,12.12951057
9/20/2011,12.12951057
9/21/2011,13.0893999
9/22/2011,11.69319724
9/23/2011,11.69319724
9/24/2011,12.39129857
9/25/2011,11.95498524
9/26/2011,11.95498524
9/27/2011,11.60593458
9/28/2011,11.25295401
9/29/2011,11.25295401
9/30/2011,11.42090855
10/1/2011,11.00102221
10/2/2011,11.00102221
10/3/2011,10.91704494
10/4/2011,11.50488582
10/5/2011,11.50488582
10/6/2011,10.7490904
10/7/2011,10.83306767
10/8/2011,10.83306767
10/9/2011,9.909317712
10/10/2011,8.901590487
10/11/2011,8.901590487
10/12/2011,7.641931456
10/13/2011,11.16897674
10/14/2011,11.16897674
10/15/2011,8.977080038
10/16/2011,8.247236133
10/17/2011,8.247236133
10/18/2011,9.633939553
10/19/2011,7.517392227
10/20/2011,7.517392227
10/21/2011,6.860532712
10/22/2011,7.663361008
10/23/2011,7.663361008
10/24/2011,9.487970772
10/25/2011,7.955298571
10/26/2011,7.955298571
10/27/2011,7.444407837
10/28/2011,8.685142476
10/29/2011,8.685142476
10/30/2011,9.998861506
10/31/2011,8.73436486
11/1/2011,8.73436486
11/2/2011,7.59770094
11/3/2011,8.554891609
11/4/2011,8.554891609
11/5/2011,8.854013694
11/6/2011,7.836998607
11/7/2011,7.836998607
